,OlfN,TotalN,Tokens
trust_NN,681,0,"['trust_NN', 'trust_NNP', 'trust_NNS']"
mutual_JJ,464,0,['mutual_JJ']
liking_NN,39,0,"['liking_NN', 'liking_NNS']"
way_NN,18186,0,"['way_NN', 'way_NNS', 'way_NNP', 'way_NNPS']"
natural_JJ,2131,0,['natural_JJ']
state_NN,4710,0,"['state_NN', 'state_NNP', 'state_NNPS', 'state_NNS']"
sure_JJ,4404,0,"['sure_JJ', 'sure_JJS', 'sure_JJR']"
be_VB,293680,0,"['be_VBD', 'be_VBP', 'be_VBZ', 'be_VB', 'be_VBG', 'be_VBN']"
probably_RB,2601,0,['probably_RB']
wish_VB,631,0,"['wish_VBD', 'wish_VBP', 'wish_VB', 'wish_VBG', 'wish_VBZ', 'wish_VBN']"
really_RB,11770,0,['really_RB']
go_VB,10522,0,"['go_VBG', 'go_VB', 'go_VBD', 'go_VBP', 'go_VBN', 'go_VBZ']"
have_VB,111255,0,"['have_VBP', 'have_VBZ', 'have_VBD', 'have_VB', 'have_VBN', 'have_VBG']"
disregard_VB,115,0,"['disregard_VBN', 'disregard_VBG', 'disregard_VBP', 'disregard_VB', 'disregard_VBD', 'disregard_VBZ']"
most_JJ,5684,0,['most_JJS']
nation_NN,1124,0,"['nation_NNS', 'nation_NN', 'nation_NNPS', 'nation_NNP']"
team_NN,1920,0,"['team_NN', 'team_NNS', 'team_NNP', 'team_NNPS']"
library_NN,809,0,"['library_NNS', 'library_NNP', 'library_NN', 'library_NNPS']"
learn_VB,3193,0,"['learn_VB', 'learn_VBD', 'learn_VBP', 'learn_VBG', 'learn_VBN', 'learn_VBZ']"
people_NN,28203,0,"['people_NNS', 'people_NNPS', 'people_NNP']"
so_RB,22363,0,['so_RB']
many_JJ,17338,0,['many_JJ']
american_NN,2562,0,"['american_NNPS', 'american_NNP', 'american_NNS', 'american_NN']"
loss_NN,2941,0,"['loss_NN', 'loss_NNS']"
there_RB,3432,0,['there_RB']
here_RB,4354,0,['here_RB']
deep_JJ,3427,0,"['deep_JJ', 'deep_JJR', 'deep_JJS']"
land_NN,568,0,"['land_NN', 'land_NNS', 'land_NNP']"
use_NN,1064,0,"['use_NN', 'use_NNP']"
gauge_VB,60,0,"['gauge_VBG', 'gauge_VB', 'gauge_VBD', 'gauge_VBP', 'gauge_VBZ', 'gauge_VBN']"
township_NN,22,0,"['township_NNS', 'township_NNP', 'township_NN']"
william_NN,116,0,['william_NNP']
buckley_NN,20,0,['buckley_NNP']
mean_VB,1879,0,"['mean_VBN', 'mean_VBZ', 'mean_VBD', 'mean_VBP', 'mean_VBG', 'mean_VB']"
can_MD,31702,0,['can_MD']
suddenly_RB,1750,0,['suddenly_RB']
new_JJ,5492,0,"['new_JJ', 'new_JJR', 'new_JJS']"
then_RB,10205,0,['then_RB']
must_MD,9076,0,['must_MD']
surely_RB,330,0,['surely_RB']
time_NN,16138,0,"['time_NN', 'time_NNS', 'time_NNP', 'time_NNPS']"
now_RB,10491,0,['now_RB']
maybe_RB,1385,0,['maybe_RB']
'll_MD,3219,0,"[""'ll_MD""]"
stress_NN,1205,0,['stress_NN']
anxiety_NN,2196,0,"['anxiety_NN', 'anxiety_NNS']"
unhappiness_NN,95,0,['unhappiness_NN']
life_NN,6689,0,"['life_NN', 'life_NNS', 'life_NNP']"
treat_VB,996,0,"['treat_VBN', 'treat_VB', 'treat_VBZ', 'treat_VBG', 'treat_VBP', 'treat_VBD']"
none_NN,671,0,['none_NN']
specify_VB,70,0,"['specify_VBN', 'specify_VB', 'specify_VBG', 'specify_VBP', 'specify_VBZ']"
not_RB,53713,0,['not_RB']
only_RB,7889,0,['only_RB']
weight_NN,1432,0,"['weight_NN', 'weight_NNS', 'weight_NNP']"
action_NN,2391,0,"['action_NNS', 'action_NN', 'action_NNP']"
regard_VB,1125,0,"['regard_VBG', 'regard_VBN', 'regard_VBZ', 'regard_VB', 'regard_VBD', 'regard_VBP']"
also_RB,14534,0,['also_RB']
do_VB,72735,0,"['do_VBP', 'do_VBD', 'do_VBZ', 'do_VBG', 'do_VB', 'do_VBN']"
moon_NN,109,0,"['moon_NN', 'moon_NNP', 'moon_NNS']"
president_NN,1680,0,"['president_NNP', 'president_NN', 'president_NNS', 'president_NNPS']"
say_VB,19742,0,"['say_VBD', 'say_VB', 'say_VBP', 'say_VBG', 'say_VBZ', 'say_VBN']"
governor_NN,273,0,"['governor_NNP', 'governor_NNS', 'governor_NN']"
've_VB,6483,0,"[""'ve_VBP"", ""'ve_VB""]"
liberal_NN,233,0,"['liberal_NNS', 'liberal_NN', 'liberal_NNP']"
need_VB,11637,0,"['need_VBP', 'need_VBD', 'need_VBZ', 'need_VB', 'need_VBN', 'need_VBG']"
remedial_JJ,12,0,['remedial_JJ']
draw_VB,1108,0,"['draw_VBP', 'draw_VBG', 'draw_VBN', 'draw_VB', 'draw_VBD', 'draw_VBZ']"
give_VB,10059,0,"['give_VB', 'give_VBG', 'give_VBD', 'give_VBZ', 'give_VBN', 'give_VBP']"
primitive_JJ,91,0,['primitive_JJ']
form_NN,1090,0,"['form_NNS', 'form_NN', 'form_NNP', 'form_NNPS']"
n't_RB,34687,0,"[""n't_RB""]"
live_VB,2267,0,"['live_VBG', 'live_VB', 'live_VBD', 'live_VBN', 'live_VBZ', 'live_VBP']"
sufferer_NN,125,0,"['sufferer_NN', 'sufferer_NNS']"
experience_VB,3119,0,"['experience_VBZ', 'experience_VBG', 'experience_VB', 'experience_VBD', 'experience_VBP', 'experience_VBN']"
north_NN,453,0,"['north_NNP', 'north_NN', 'north_NNPS']"
dakota_NN,19,0,"['dakota_NNP', 'dakota_NNPS']"
strongly_RB,9285,0,['strongly_RB']
get_VB,17631,0,"['get_VBG', 'get_VBN', 'get_VBP', 'get_VB', 'get_VBD', 'get_VBZ']"
numb_JJ,459,0,['numb_JJ']
somehow_RB,1594,0,['somehow_RB']
understand_VB,4265,0,"['understand_VB', 'understand_VBZ', 'understand_VBP', 'understand_VBD', 'understand_VBN', 'understand_VBG']"
threaten_VB,3643,0,"['threaten_VBN', 'threaten_VBG', 'threaten_VBD', 'threaten_VB', 'threaten_VBP', 'threaten_VBZ']"
moderate_JJ,127,0,['moderate_JJ']
arab_JJ,149,0,['arab_JJ']
country_NN,3743,0,"['country_NNS', 'country_NN', 'country_NNP', 'country_NNPS']"
others_NN,6887,0,['others_NNS']
issue_NN,3973,0,"['issue_NN', 'issue_NNS', 'issue_NNPS', 'issue_NNP']"
cope_VB,378,0,"['cope_VB', 'cope_VBP']"
fill_VB,602,0,"['fill_VB', 'fill_VBN', 'fill_VBG', 'fill_VBP', 'fill_VBZ', 'fill_VBD']"
void_NN,146,0,"['void_NN', 'void_NNS']"
inside_RB,241,0,['inside_RB']
crime_NN,429,0,"['crime_NN', 'crime_NNS', 'crime_NNP']"
human_JJ,2716,0,['human_JJ']
tragedy_NN,225,0,"['tragedy_NN', 'tragedy_NNS']"
sadness_NN,1263,0,"['sadness_NN', 'sadness_NNP']"
right_RB,3224,0,['right_RB']
push_VB,687,0,"['push_VBD', 'push_VB', 'push_VBN', 'push_VBP', 'push_VBG', 'push_VBZ']"
aside_RB,327,0,['aside_RB']
tax_NN,444,0,"['tax_NN', 'tax_NNS', 'tax_NNP']"
program_NN,3122,0,"['program_NN', 'program_NNS', 'program_NNP']"
design_VB,525,0,"['design_VBN', 'design_VBG', 'design_VBD', 'design_VB', 'design_VBZ', 'design_VBP']"
's_VB,14628,0,"[""'s_VBZ""]"
use_VB,6257,0,"['use_VBG', 'use_VB', 'use_VBZ', 'use_VBD', 'use_VBN', 'use_VBP']"
emotion_NN,3681,0,"['emotion_NNS', 'emotion_NN', 'emotion_NNP']"
inability_NN,293,0,"['inability_NN', 'inability_NNS']"
deal_VB,1402,0,"['deal_VB', 'deal_VBN', 'deal_VBG', 'deal_VBZ', 'deal_VBD', 'deal_VBP']"
pressure_NN,4856,0,"['pressure_NN', 'pressure_NNS', 'pressure_NNP']"
're_VB,8385,0,"[""'re_VBP""]"
corporate_JJ,260,0,['corporate_JJ']
head_NN,1411,0,"['head_NN', 'head_NNP', 'head_NNS']"
bear_VB,546,0,"['bear_VBG', 'bear_VBN', 'bear_VB', 'bear_VBD', 'bear_VBZ', 'bear_VBP']"
burden_NN,609,0,"['burden_NN', 'burden_NNS', 'burden_NNP']"
should_MD,22850,0,['should_MD']
tell_VB,4209,0,"['tell_VBP', 'tell_VBZ', 'tell_VB', 'tell_VBD', 'tell_VBN', 'tell_VBG']"
may_MD,24826,0,['may_MD']
guess_VB,717,0,"['guess_VBN', 'guess_VBP', 'guess_VB', 'guess_VBG', 'guess_VBZ', 'guess_VBD']"
george_NN,345,0,"['george_NNP', 'george_NN']"
position_NN,1411,0,"['position_NN', 'position_NNS']"
would_MD,28924,0,['would_MD']
meet_VB,1475,0,"['meet_VB', 'meet_VBZ', 'meet_VBD', 'meet_VBN', 'meet_VBG', 'meet_VBP']"
