Word;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;Exclusivity;DominantModality
a;2.214285714;0;0.428571429;0;0;2.428571429;0.478873239;Visual
a cappella;4.333333333;0;0.222222222;0.722222222;0;1.666666667;0.624;Auditory
aardvark;1.625;0.5625;1.625;0.0625;1.25;4.125;0.439189189;Visual
aback;1.294117647;0.058823529;0.294117647;1.352941176;0;2.823529412;0.484848485;Visual
abacus;1.555555556;0.166666667;3.722222222;0.277777778;0.111111111;3.944444444;0.392045455;Visual
abandon;0.941176471;0.117647059;0.294117647;2.117647059;0.058823529;2.176470588;0.371134021;Visual
abandoned;1.444444444;0;0.055555556;1.666666667;0;2.777777778;0.46728972;Visual
abandonee;1.9375;0;1.375;0.5625;0.25;3.9375;0.488372093;Visual
abandoner;0.571428571;0;0.142857143;1.642857143;0;2.214285714;0.484375;Visual
abandonment;2.133333333;0.066666667;1.2;2.933333333;0.066666667;3;0.312056738;Visual
abasement;2.833333333;0.166666667;0.666666667;1.25;0.166666667;3;0.350515464;Visual
abbreviate;2.4;0;0.15;0.45;0;2.65;0.469026549;Visual
abbreviated;1.888888889;0;0.277777778;0.444444444;0;3.111111111;0.54368932;Visual
abbreviation;2.736842105;0.052631579;0.157894737;0.473684211;0;3.947368421;0.535714286;Visual
abdicate;2.333333333;0.166666667;0.166666667;0.416666667;0.25;3.25;0.46835443;Visual
abdomen;0.588235294;0.235294118;3.294117647;2.352941176;0.235294118;3.647058824;0.329545455;Visual
abdominal;0.933333333;0.2;3.2;2.733333333;0.2;3.8;0.325301205;Visual
abdominally;0.411764706;0.470588235;0.882352941;2.058823529;0.176470588;1.352941176;0.351648352;Interoceptive
abduct;1.736842105;0;1;0.578947368;0.105263158;2.894736842;0.458333333;Visual
abductee;1.25;0.1;0.6;0.55;0.1;2.9;0.509090909;Visual
abduction;2.058823529;0;1.529411765;2.176470588;0;4;0.409638554;Visual
abductor;2.352941176;0.294117647;1.823529412;0.941176471;0.352941176;3.058823529;0.313333333;Visual
abhor;1.695652174;0;0.173913043;2.086956522;0.173913043;1.782608696;0.352941176;Interoceptive
abhorrence;1.3125;0.1875;0.5;2.75;0.4375;1.5;0.38317757;Interoceptive
abhorrently;2.266666667;0.866666667;0.466666667;2.733333333;1;2.266666667;0.236111111;Interoceptive
abhorring;1;0.2;0;3.2;0.2;1.4;0.533333333;Interoceptive
abide;1.1875;0.0625;0.4375;1.1875;0.1875;1.6875;0.342105263;Visual
abiding;0.533333333;0.133333333;0.133333333;1.466666667;0.2;0.6;0.434782609;Interoceptive
abidingly;1.583333333;0.083333333;0.166666667;1.583333333;0.083333333;1.75;0.317460317;Visual
ability;1.222222222;0.277777778;0.833333333;2.555555556;0.166666667;2;0.338582677;Interoceptive
ablaze;1.470588235;0;1.117647059;0.823529412;0.941176471;3.705882353;0.459854015;Visual
able;1.133333333;0.933333333;1.266666667;3.066666667;0.666666667;2;0.264705882;Interoceptive
ably;1.176470588;0;0.235294118;1.176470588;0;2.529411765;0.494252874;Visual
abnormal;1.894736842;1.263157895;2;2.052631579;1.526315789;3;0.147982063;Visual
abnormality;1.421052632;0.684210526;1.842105263;1.526315789;0.789473684;3.052631579;0.254237288;Visual
abnormally;1.055555556;0.444444444;1.111111111;2.388888889;0.444444444;2.555555556;0.263888889;Visual
aboard;1.19047619;0;0.714285714;0.714285714;0.238095238;2.857142857;0.5;Visual
abode;0.866666667;0.133333333;2.066666667;0.733333333;1.2;3.6;0.403100775;Visual
abolish;2.12;0.24;0.96;1.12;0.16;2.32;0.312138728;Visual
abolishable;1.666666667;0;0.4;0.466666667;0;2.066666667;0.449275362;Visual
abolisher;0.642857143;0.142857143;0.428571429;0.642857143;0.285714286;2.285714286;0.483870968;Visual
